Qty,Designator,Footprint,Comment,LCSC Part #
2,"L1, L2",0603,,C275435,
16,"R12, R18, R22, R24, R35, R42, R52, R58, R72, R77, R81, R85, R96, R104, R110, R115",R0603,1.0M,C22935
10,"R15, R21, R48, R53, R59, R60, R75, R80, R108, R113",R0603,1.2k,C22765
36,"R3, R16, R19, R20, R28, R31, R34, R38, R39, R49, R63, R76, R78, R79, R89, R92, R95, R101, R102, R109, R2, R6, R9, R11, R43, R45, R50, R51, R62, R66, R69, R71, R105, R106, R111, R112",R0603,100k,C25803
26,"C3, C4, C5, C7, C8, C11, C16, C17, C18, C21, C22, C24, C25, C26, C27, C28, C29, C30, C32, C33, C36, C41, C42, C43, C46, C47",C0603,100n,C14663
2,"D1, D2",SOD123,1N5819HW,C117948
4,"R1, R57, R61, R117",R0603,200k,C25811
2,"C1, C2",PANASONIC_C,22u,C134793
3,"R10, R44, R70",R0603,3.9k,C23018
8,"R23, R29, R30, R54, R83, R90, R91, R103",R0603,33k,C4216
11,"R7, R8, R13, R40, R41, R46, R67, R68, R73, R99, R100",R0603,4.30k,C23159
4,"R17, R55, R84, R116",R0603,402,C23049
12,"C6, C9, C10, C19, C20, C23, C31, C34, C35, C44, C45, C48",C0603,47p,C1671
8,"R26, R27, R32, R33, R87, R88, R93, R94",R0603,510,C23193
8,"C12, C13, C14, C15, C37, C38, C39, C40",C0603,560p,C84721
7,"R14, R47, R56, R74, R82, R107, R114",R0603,68k,C23231
2,"IC6, IC7",DBZ_R-PDSO-G3,LM4040B10,C201738
8,"IC1, IC2, IC4, IC5, IC8, IC9, IC11, IC12",TSSOP14,TL074PW,C96507
1,P1,PTC-1206,PTCSMD,C151162
