Designator,Mid X,Mid Y,Layer,Rotation
C1,15.56,88.9,Top,90
C2,22.54,88.9,Top,90
C3,53.82,86.36,Top,0
C4,36.83,86.04,Top,90
C5,40.96,84.14,Top,90
C6,54.29,76.84,Top,180
C7,58.74,76.84,Top,0
C8,57.79,73.02,Top,135
C9,21.91,71.12,Top,270
C10,29.85,70.48,Top,180
C11,36.2,70.48,Top,0
C12,49.85,70.48,Top,45
C13,5.71,67.95,Top,90
C14,50.8,69.53,Top,45
C15,21.27,66.99,Top,270
C16,8.26,61.91,Top,90
C17,49.53,62.87,Top,90
C18,66.61,62.55,Top,315
C19,65.72,60.64,Top,315
C20,29.85,60.33,Top,180
C21,36.2,60.33,Top,0
C22,23.5,59.69,Top,270
C23,32.38,58.74,Top,270
C24,53.66,57.15,Top,135
C25,56.2,56.07,Top,225
C26,41.27,55.88,Top,180
C27,44.13,51.75,Top,180
C28,68.58,49.21,Top,180
C29,67.63,46.67,Top,0
C30,63.18,47.31,Top,180
C31,84.77,43.18,Top,90
C32,59.37,39.05,Top,270
C33,58.74,33.34,Top,0
C34,72.07,36.51,Top,270
C35,75.25,35.56,Top,90
C36,80.01,35.56,Top,90
C37,84.77,35.56,Top,90
C38,10.79,35.24,Top,180
C39,47.94,34.93,Top,180
C40,40.64,33.66,Top,180
C41,63.82,30.8,Top,0
C42,51.75,33.02,Top,90
C43,81.6,30.48,Top,270
C44,86.36,30.48,Top,270
C45,10.79,28.26,Top,180
C46,44.45,27.94,Top,180
C47,72.23,60.64,Top,180
C48,80.17,60.64,Top,0
C49,56.52,38.1,Top,90
C50,63.18,48.58,Top,180
D1,11.11,87.95,Top,270
D2,7.94,74.3,Top,0
IC1,46.83,89.22,Top,180
IC2,29.85,86.56,Top,180
IC3,24.77,65.41,Top,0
IC4,33.02,65.41,Top,0
IC5,57.78,64.46,Top,315
IC6,7.3,58.42,Top,180
IC7,44.79,43.18,Top,0
IC8,66.04,40.97,Top,270
IC9,10.79,31.75,Top,270
IC10,46.36,31.43,Top,270
Q1,72.39,90.81,Top,270
Q2,72.39,87.31,Top,270
R1,16.83,97.79,Top,270
R2,18.41,97.79,Top,270
R3,23.97,97.79,Top,90
R4,32.54,97.79,Top,270
R5,34.29,97.79,Top,270
R6,43.18,97.79,Top,270
R7,44.93,97.79,Top,270
R8,53.82,97.79,Top,270
R9,55.56,97.79,Top,270
R10,64.45,97.79,Top,270
R11,19.05,93.98,Top,0
R12,68.58,91.76,Top,0
R13,80.01,91.44,Top,90
R14,76.2,90.81,Top,0
R15,68.58,88.27,Top,0
R16,76.2,87.31,Top,0
R17,80.01,80.01,Top,90
R21,29.85,75.25,Top,180
R22,29.85,73.66,Top,180
R23,36.2,73.66,Top,0
R24,33.66,73.03,Top,90
R25,29.85,72.07,Top,0
R26,36.2,72.07,Top,180
R27,23.5,71.12,Top,90
R28,25.4,71.12,Top,90
R29,26.99,71.12,Top,90
R30,6.67,61.91,Top,270
R31,21.91,59.69,Top,90
R32,25.08,59.69,Top,270
R33,26.67,59.69,Top,270
R34,29.85,58.74,Top,0
R35,36.2,58.74,Top,180
R36,29.85,57.15,Top,180
R37,36.2,57.15,Top,0
R38,29.85,55.56,Top,180
R39,36.2,55.56,Top,0
R40,66.67,53.02,Top,270
R41,64.14,53.02,Top,270
R46,5.71,33.02,Top,270
R47,15.88,33.02,Top,270
R48,53.66,33.02,Top,270
R49,40.64,32.07,Top,0
R50,55.56,30.8,Top,90
R51,40.64,30.48,Top,180
R52,52.71,30.48,Top,0
R53,78.42,30.48,Top,270
R54,80.01,30.48,Top,90
R55,83.19,30.48,Top,270
R56,84.77,30.48,Top,90
R57,5.71,29.85,Top,270
R58,15.88,29.85,Top,270
R59,40.64,28.89,Top,180
R61,62.55,12.07,Top,0
R62,75.88,12.07,Top,180
SW4,84.14,88.9,Top,270
SW5,84.14,77.47,Top,270
