Designator,"Mid X","Mid Y",Layer,Rotation
C1,4.45,99.06,Top,270
C2,15.24,99.06,Top,270
C3,1.91,98.74,Top,90
C4,17.78,99.38,Top,90
C5,8.57,68.9,Top,180
C6,14.45,66.67,Top,90
C7,7.94,64.45,Top,180
C8,8.89,35.24,Top,180
C9,13.81,31.91,Top,90
C10,6.35,28.26,Top,90
D1,1.59,104.62,Top,90
D2,17.46,104.62,Top,270
IC1,9.53,99.38,Top,270
IC2,10.16,66.67,Top,270
IC3,15.88,62.55,Top,90
IC4,9.21,31.43,Top,270
IC5,16.19,27.62,Top,90
R1,3.81,94.46,Top,0
R2,12.38,95.57,Top,270
R3,6.83,95.25,Top,90
R4,7.94,81.92,Top,180
R5,16.67,81.92,Top,180
R6,5.08,66.67,Top,180
R7,15.88,66.67,Top,90
R8,4.29,64.45,Top,90
R9,5.71,64.45,Top,90
R10,11.11,64.45,Top,0
R11,13.02,60.96,Top,270
R12,7.94,47.63,Top,180
R13,16.67,47.63,Top,0
R14,8.89,33.81,Top,0
R15,3.81,32.54,Top,180
R16,15.24,31.91,Top,90
R17,2.86,30.32,Top,90
R18,4.76,30.32,Top,90
R19,13.65,27.94,Top,270
R20,3.81,27.3,Top,90
R21,16.67,12.07,Top,180
