Quantity,Designator,Footprint,Comment,LCSC Part #,
2,"R1, R5",0402,39,C25110,
4,"R2, R3, R7, R8",0402,100,C25076,
6,"R6, R22, R23, R55, R56, R67",0402,10k,C25744,
5,"R10, R12, R17, R18, R36",0402,1.5k,C25867,
4,"R9, R11, R15, R19",0402,2.2k,C25879,
18,"R24, R25, R26, R27, R32, R33, R34, R35, R43, R44, R60, R61, R64, R65, R66, R73, R76, R77",0402,100k,C25741,
7,"R28, R29, R30, R31, R70, R71, R72",0402,200k,C25764,
7,"R39, R40, R41, R42, R57, R58, R59",0402,33k,C25779,
7,"R45, R46, R62, R63, R85, R86, R87",0603,1.0k,,
4,"R47, R48, R53, R54",0402,23.7k,C82134,
3,"R49, R50, R75",0402,39k,C25783,
3,"R51, R52, R69",0402,56k,C25796,
1,R68,0402,1.0k,C11702,
1,R74,0402,150k,C25755,
4,"R78, R79, R80, R81",0402,680,C25130,
3,"R82, R83, R84",0402,180,C38941,
24,"C1, C7, C8, C9, C12, C13, C16, C17, C18, C19, C21, C24, C26, C28, C29, C36, C37, C38, C39, C46, C47, C48, C49, C50",0402,100n,C100072,
5,"C2, C11, C22, C23, C27",5mm (Panasonic C),22u,C239256,
3,"C3, C5, C14",1206,22u,C105213,
2,"C4, C6",0402,20p,C1554,
3,"C10, C15, C20",0805,2.2u,C49217,!
3,"C25, C51, C52",0402,470n,C92361,
5,"C30, C32, C33, C40, C42",0402,4.7n,C1538,
2,"C31, C41",0402,470p,C1537,!
4,"C34, C35, C43, C44",0402,47p,C1567,
7,"C45, C53, C54, C55, C56, C57, C58",0603,-,,
1,L1,0805,33u,,
3,"L2, L3, L4",0603,-,,
2,"D1, D2",SOD123,1N5819HW,C402219,
1,D3,SOT23,BAT54SLT1G,C47546,
2,"D4, D5",SOD523,1N4148,C414017,
1,IC2,TQFP64,STM32F405RGT6,C15742,
1,IC3,SOT89-3,LD2981ABU33,,
1,IC4,TSSOP16,DAC8164IDPW,,
2,"IC5, IC6",TSSOP14,MCP6004,C50282,
1,IC7,TSSOP14,OPA4171,C529553,
1,IC8,SOT23,LM4040,C201738,
1,IC9,TSSOP14,LM324,C7942,
1,IC10,TSSOP14,TL074,C96507,
1,Q1,6mm x 3.6mm,8MHz,C157341,
2,"Q2, Q3",SOT23,MMBT3904,C20526,
