Designator MidX MidY Rotation Comment Footprint
C1 30.48 95.89 270 100n C0402
C2 26.99 94.62  90 22u PANASONIC_C
C3 14.29 94.30   0 22u C1206
C4 60.96 93.66  90 20p C0402
C5 14.29 92.08   0 22u C1206
C6 53.02 92.39 270 20p C0402
C7 67.63 90.17 270 100n C0402
C8 40.01 88.90 270 100n C0402
C9 48.74 86.84  90 100n C0402
C10 45.24 86.04 180 2.2u C0805
C11 12.86 83.82  90 22u PANASONIC_C
C12 58.74 83.19 270 100n C0402
C13 43.50 82.55  90 100n C0402
C14 12.38 78.74 180 22u C1206
C15 43.18 74.30 270 2.2u C0805
C16 45.09 73.66 270 100n C0402
C17 21.59 73.34 180 100n C0402
C18 66.04 73.18 180 100n C0402
C19 56.20 72.39 270 100n C0402
C20 54.61 70.48 270 2.2u C0805
C21 56.99 69.37 180 100n C0402
C22  6.03 68.58 180 22u PANASONIC_C
C23 14.92 68.58   0 22u PANASONIC_C
C24 39.37 62.23 270 100n C0402
C25 57.15 60.80   0 470n C0402
C26 53.66 60.64 180 100n C0402
C27 54.29 55.09  90 22u PANASONIC_C
C28  7.62 49.85 180 100n C0402
C29 80.01 49.85 180 100n C0402
C30 13.81 41.91 180 4.7n C0402
C31 17.62 41.91   0 470p C0402
C32 20.00 41.91 180 4.7n C0402
C33 22.54 41.91   0 4.7n C0402
C34 64.77 38.42   0 47p C0402
C35 73.03 38.42 180 47p C0402
C36 53.66 37.78 270 100n C0402
C37 74.93 35.56 180 100n C0402
C38 29.69 34.93 180 100n C0402
C39 63.18 34.93 180 100n C0402
C40 14.13 33.66 180 4.7n C0402
C41 19.37 33.66 180 470p C0402
C42 23.18 33.66   0 4.7n C0402
C43 65.09 32.70   0 47p C0402
C44 72.71 32.70 180 47p C0402
C45 86.04 32.07  90 ESD C0603
C46 15.72 31.75 270 100n C0402
C47 21.27 31.75 270 100n C0402
C48 50.32 31.75  90 100n C0402
C49 59.53 31.75 270 100n C0402
C50 38.26 31.12 270 100n C0402
C51 74.61 30.16 180 470n C0402
C52 30.80 28.89   0 470n C0402
C53  5.08 28.42 180 ESD C0603
C54 49.85 22.23  90 ESD C0603
C55 61.91 19.69  90 ESD C0603
C56 14.92 17.14  90 ESD C0603
C57 61.91 16.51  90 ESD C0603
C58 23.34 13.97 180 ESD C0603
D1 23.18 100.33  90 1N5819HW SOD123
D2  5.71 73.03   0 1N5819HW SOD123
D3 33.34 54.93 180 BAT54S SOT23
D4 33.81 51.17  90 1N4148 SOD523
D5 37.78 49.80 270 1N4148 SOD523
F1 84.77 104.14   0 FIDUCIAL1X2 FIDUCIAL-1X2
F2 87.00  5.08   0 FIDUCIAL1X2 FIDUCIAL-1X2
F3  2.54  2.54   0 FIDUCIAL1X2 FIDUCIAL-1X2
IC2 51.13 79.08 270 STM32F405RGT6 TQFP-10X10-64
IC3 13.65 74.37 180 LD2981ABU33 SOT89
IC4 57.47 65.09  90 DAC8164ICPW SOP65P640X110-16N
IC5 15.72 37.78   0 MCP6004 TSSOP14_065
IC6 21.27 37.78   0 MCP6004 TSSOP14_065
IC7 68.90 35.56 270 OPA4171 TSSOP14_065
IC8 31.12 32.70 270 LM4040B10 DBZ_R-PDSO-G3
IC9 42.70 32.23 270 LM324PW TSSOP14_065
IC10 54.77 31.12 270 TL074PW TSSOP14_065
L1 10.79 93.24  90 33u L2012C
L2 16.09 86.84   0  0603
L3 15.56 78.80  90  0603
L4  9.53 71.50  90  0603
Q1 56.83 93.03   0 8MHz CTS406
Q2 35.88 53.18   0 MMBT3904 SOT23-BEC
Q3 39.37 53.18   0 MMBT3904 SOT23-BEC
R1 20.32 97.16  90 39 R0402
R2 51.75 96.20 270 100 R0402
R3 52.86 96.20 270 100 R0402
R5 76.84 94.93   0 39 R0402
R6 66.67 90.17 270 10k R0402
R7 54.29 89.69   0 100 R0402
R8 55.88 88.74   0 100 R0402
R9  4.45 85.09 180 2.2k R0402
R10  6.99 85.09   0 1.5k R0402
