Designator,"Mid X","Mid Y",Layer,Rotation
C1,34.29,95.57,Top,180
C2,17.46,94.3,Top,90
C3,24.77,94.3,Top,90
C4,30.16,92.71,Top,270
C5,43.82,92.71,Top,270
C6,10.79,87.31,Top,0
C7,31.43,86.36,Top,180
C8,5.71,84.77,Top,0
C9,31.43,85.09,Top,180
C10,41.91,82.55,Top,0
C11,26.99,81.47,Top,90
C12,60.96,78.42,Top,270
C13,63.5,77.79,Top,90
C14,4.76,76.52,Top,90
C15,12.07,75.88,Top,0
C16,26.99,74.61,Top,90
C17,40.96,71.76,Top,270
C18,42.23,71.76,Top,270
C19,4.13,70.48,Top,270
C20,28.89,71.44,Top,270
C21,52.07,70.17,Top,270
C22,38.73,69.22,Top,0
C23,55.25,68.26,Top,180
C24,64.45,68.26,Top,0
C25,52.39,66.99,Top,0
C26,6.35,64.77,Top,270
C27,39.05,65.41,Top,180
C28,18.73,62.23,Top,180
C29,25.08,62.23,Top,0
C30,40.01,60.01,Top,270
C31,41.27,60.01,Top,270
C32,41.59,53.34,Top,90
C33,46.04,53.34,Top,90
C34,50.48,53.34,Top,90
C35,53.02,53.34,Top,270
C36,18.73,51.44,Top,180
C37,21.91,51.44,Top,0
C38,25.08,51.44,Top,0
C39,47.31,46.99,Top,0
C40,53.66,46.99,Top,90
C41,29.21,46.04,Top,90
C42,36.83,46.04,Top,90
C43,46.36,44.77,Top,90
C44,61.6,43.5,Top,0
C45,35.88,43.18,Top,0
C46,15.24,29.53,Top,270
C47,55.88,29.21,Top,90
C48,12.7,27.3,Top,270
C49,37.78,13.65,Top,180
D1,19.05,101.28,Top,90
D2,39.05,101.28,Top,270
D3,27.94,53.02,Top,180
F1,1.59,105.09,Top,0
F2,67.63,105.09,Top,0
F3,1.59,1.59,Top,0
F4,67.63,1.59,Top,0
IC1,9.09,93.03,Top,90
IC2,34.94,77.5,Top,270
IC3,12.07,73.34,Top,180
IC4,61.6,73.02,Top,270
IC5,7.3,70.48,Top,0
IC6,46.99,61.29,Top,270
IC7,21.91,56.83,Top,0
IC8,41.59,45.09,Top,270
L1,20.64,102.65,Top,270
L2,37.47,102.65,Top,270
L3,27.21,87.63,Top,0
Q1,37.15,89.85,Top,0
Q2,11.43,80.33,Top,270
Q3,60.01,65.09,Top,0
R1,10.79,102.87,Top,270
R2,16.83,101.28,Top,90
R3,10.79,99.7,Top,90
R4,54.29,96.84,Top,90
R5,55.88,96.84,Top,90
R6,46.67,92.39,Top,0
R7,51.12,92.39,Top,0
R8,10.79,83.82,Top,90
R11,7.62,80.65,Top,0
R12,12.07,77.47,Top,180
R13,6.35,76.52,Top,270
R14,7.94,76.52,Top,90
R15,9.53,76.52,Top,90
R16,43.66,68.58,Top,90
R17,45.09,68.58,Top,90
R18,7.94,64.77,Top,90
R19,9.53,64.77,Top,270
R20,11.11,64.77,Top,270
R21,18.73,65.41,Top,180
R22,25.08,65.41,Top,0
R23,20.96,64.77,Top,270
R24,22.86,64.77,Top,270
R25,18.73,63.82,Top,0
R26,25.08,63.82,Top,180
R27,52.71,60.01,Top,270
R31,18.73,49.85,Top,0
R32,25.08,49.85,Top,180
R33,42.23,48.9,Top,180
R34,18.73,48.26,Top,180
R35,25.08,48.26,Top,0
R36,20.96,47.94,Top,90
R37,22.86,47.94,Top,90
R38,51.12,46.67,Top,270
R39,32.07,46.04,Top,90
R40,33.66,46.04,Top,90
R41,35.24,46.04,Top,270
R42,47.94,44.77,Top,270
R43,49.53,44.77,Top,90
R44,52.07,43.82,Top,0
R50,15.88,24.13,Top,90
R51,37.78,12.07,Top,0
R52,14.29,9.53,Top,270
R53,28.89,9.53,Top,270
R54,40.01,2.86,Top,270
R55,42.23,2.86,Top,90
R56,55.25,2.86,Top,90
R57,16.19,8.26,Top,270
SJ1,54,12.38,Top,180
SW3,43.5,99.06,Top,270
SW4,50.16,99.06,Top,90
